"State","Year","Nature","Incidents"
"Alabama",1996,"Bribery.Gratuity",0
"Alabama",1997,"Bribery.Gratuity",0
"Alabama",1998,"Bribery.Gratuity",0
"Alabama",1999,"Bribery.Gratuity",0
"Alabama",2000,"Bribery.Gratuity",0
"Alabama",2001,"Bribery.Gratuity",0
"Alabama",2002,"Bribery.Gratuity",0
"Alabama",2003,"Bribery.Gratuity",0
"Alabama",2004,"Bribery.Gratuity",0
"Alabama",2005,"Bribery.Gratuity",1
"Alabama",2006,"Bribery.Gratuity",1
"Alabama",2007,"Bribery.Gratuity",0
"Alabama",2008,"Bribery.Gratuity",0
"Alabama",2009,"Bribery.Gratuity",0
"Alabama",2010,"Bribery.Gratuity",17
"Alabama",2011,"Bribery.Gratuity",0
"Alaska",1996,"Bribery.Gratuity",0
"Alaska",1997,"Bribery.Gratuity",0
"Alaska",1998,"Bribery.Gratuity",0
"Alaska",1999,"Bribery.Gratuity",0
"Alaska",2000,"Bribery.Gratuity",0
"Alaska",2001,"Bribery.Gratuity",0
"Alaska",2002,"Bribery.Gratuity",0
"Alaska",2003,"Bribery.Gratuity",0
"Alaska",2004,"Bribery.Gratuity",0
"Alaska",2005,"Bribery.Gratuity",0
"Alaska",2006,"Bribery.Gratuity",0
"Alaska",2007,"Bribery.Gratuity",0
"Alaska",2008,"Bribery.Gratuity",0
"Alaska",2009,"Bribery.Gratuity",0
"Alaska",2010,"Bribery.Gratuity",0
"Alaska",2011,"Bribery.Gratuity",0
"American Samoa",1996,"Bribery.Gratuity",0
"American Samoa",1997,"Bribery.Gratuity",0
"American Samoa",1998,"Bribery.Gratuity",0
"American Samoa",1999,"Bribery.Gratuity",0
"American Samoa",2000,"Bribery.Gratuity",0
"American Samoa",2001,"Bribery.Gratuity",0
"American Samoa",2002,"Bribery.Gratuity",0
"American Samoa",2003,"Bribery.Gratuity",0
"American Samoa",2004,"Bribery.Gratuity",0
"American Samoa",2005,"Bribery.Gratuity",0
"American Samoa",2006,"Bribery.Gratuity",0
"American Samoa",2007,"Bribery.Gratuity",0
"American Samoa",2008,"Bribery.Gratuity",0
"American Samoa",2009,"Bribery.Gratuity",0
"American Samoa",2010,"Bribery.Gratuity",0
"American Samoa",2011,"Bribery.Gratuity",0
"Arizona",1996,"Bribery.Gratuity",0
"Arizona",1997,"Bribery.Gratuity",0
"Arizona",1998,"Bribery.Gratuity",0
"Arizona",1999,"Bribery.Gratuity",0
"Arizona",2000,"Bribery.Gratuity",0
"Arizona",2001,"Bribery.Gratuity",0
"Arizona",2002,"Bribery.Gratuity",0
"Arizona",2003,"Bribery.Gratuity",0
"Arizona",2004,"Bribery.Gratuity",0
"Arizona",2005,"Bribery.Gratuity",0
"Arizona",2006,"Bribery.Gratuity",0
"Arizona",2007,"Bribery.Gratuity",0
"Arizona",2008,"Bribery.Gratuity",1
"Arizona",2009,"Bribery.Gratuity",0
"Arizona",2010,"Bribery.Gratuity",0
"Arizona",2011,"Bribery.Gratuity",0
"Arkansas",1996,"Bribery.Gratuity",0
"Arkansas",1997,"Bribery.Gratuity",0
"Arkansas",1998,"Bribery.Gratuity",0
"Arkansas",1999,"Bribery.Gratuity",0
"Arkansas",2000,"Bribery.Gratuity",0
"Arkansas",2001,"Bribery.Gratuity",0
"Arkansas",2002,"Bribery.Gratuity",0
"Arkansas",2003,"Bribery.Gratuity",0
"Arkansas",2004,"Bribery.Gratuity",0
"Arkansas",2005,"Bribery.Gratuity",0
"Arkansas",2006,"Bribery.Gratuity",0
"Arkansas",2007,"Bribery.Gratuity",0
"Arkansas",2008,"Bribery.Gratuity",0
"Arkansas",2009,"Bribery.Gratuity",0
"Arkansas",2010,"Bribery.Gratuity",0
"Arkansas",2011,"Bribery.Gratuity",0
"California",1996,"Bribery.Gratuity",0
"California",1997,"Bribery.Gratuity",0
"California",1998,"Bribery.Gratuity",0
"California",1999,"Bribery.Gratuity",0
"California",2000,"Bribery.Gratuity",0
"California",2001,"Bribery.Gratuity",0
"California",2002,"Bribery.Gratuity",0
"California",2003,"Bribery.Gratuity",1
"California",2004,"Bribery.Gratuity",1
"California",2005,"Bribery.Gratuity",1
"California",2006,"Bribery.Gratuity",0
"California",2007,"Bribery.Gratuity",5
"California",2008,"Bribery.Gratuity",3
"California",2009,"Bribery.Gratuity",5
"California",2010,"Bribery.Gratuity",0
"California",2011,"Bribery.Gratuity",0
"Colorado",1996,"Bribery.Gratuity",0
"Colorado",1997,"Bribery.Gratuity",0
"Colorado",1998,"Bribery.Gratuity",0
"Colorado",1999,"Bribery.Gratuity",0
"Colorado",2000,"Bribery.Gratuity",0
"Colorado",2001,"Bribery.Gratuity",0
"Colorado",2002,"Bribery.Gratuity",0
"Colorado",2003,"Bribery.Gratuity",0
"Colorado",2004,"Bribery.Gratuity",0
"Colorado",2005,"Bribery.Gratuity",0
"Colorado",2006,"Bribery.Gratuity",0
"Colorado",2007,"Bribery.Gratuity",0
"Colorado",2008,"Bribery.Gratuity",0
"Colorado",2009,"Bribery.Gratuity",0
